Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
"addOrUpdateBalancerContractAlias(string,address)",BalancerContractRegistry,20250117-v3-contract-registry,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
addPoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0x326A7778DB9B741Cb2acA0DE07b9402C7685dAc6'],['multisigs/lm']
"add_reward(address,address)",ChildChainGauge,20230316-avax-child-chain-gauge-factory-v2,"['0x326A7778DB9B741Cb2acA0DE07b9402C7685dAc6', '0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e']","['multisigs/lm', 'multisigs/maxi_omni']"
"add_reward(address,address)",ChildChainGauge,20230316-child-chain-gauge-factory-v2,"['0x326A7778DB9B741Cb2acA0DE07b9402C7685dAc6', '0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e']","['multisigs/lm', 'multisigs/maxi_omni']"
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9', '0xA084c11cb55e67C9becf9607f1DBB20ec4D5E7b2']","['20230314-batch-relayer-v5/BalancerRelayer', '20231031-batch-relayer-v6/BalancerRelayer']"
denylistToken(address),ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0x308f8d3536261C32c97D2f85ddc357f5cCdF33F0'],['multisigs/emergency']
deprecateBalancerContract(address),BalancerContractRegistry,20250117-v3-contract-registry,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
deregisterBalancerContract(string),BalancerContractRegistry,20250117-v3-contract-registry,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
disable(),AaveLinearPoolFactory,20230410-aave-linear-pool-v5,['0x308f8d3536261C32c97D2f85ddc357f5cCdF33F0'],['multisigs/emergency']
disable(),ComposableStablePoolFactory,20230711-composable-stable-pool-v5,"['0x308f8d3536261C32c97D2f85ddc357f5cCdF33F0', '0x326A7778DB9B741Cb2acA0DE07b9402C7685dAc6']","['multisigs/emergency', 'multisigs/lm']"
disable(),ComposableStablePoolFactory,20240223-composable-stable-pool-v6,['0x308f8d3536261C32c97D2f85ddc357f5cCdF33F0'],['multisigs/emergency']
disable(),ERC4626LinearPoolFactory,20230409-erc4626-linear-pool-v4,['0x308f8d3536261C32c97D2f85ddc357f5cCdF33F0'],['multisigs/emergency']
disable(),Gyro2CLPPoolFactory,20250120-v3-gyro-2clp,['0x308f8d3536261C32c97D2f85ddc357f5cCdF33F0'],['multisigs/emergency']
disable(),GyroECLPPoolFactory,20250124-v3-gyro-eclp,['0x308f8d3536261C32c97D2f85ddc357f5cCdF33F0'],['multisigs/emergency']
disable(),LBPoolFactory,20250307-v3-liquidity-bootstrapping-pool,['0x308f8d3536261C32c97D2f85ddc357f5cCdF33F0'],['multisigs/emergency']
disable(),ManagedPoolFactory,20230411-managed-pool-v2,['0x308f8d3536261C32c97D2f85ddc357f5cCdF33F0'],['multisigs/emergency']
