Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
addPoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
"add_reward(address,address)",ChildChainGauge,20230316-child-chain-gauge-factory-v2,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,['0x76f7204B62f554b79d444588EDac9dfA7032c71a'],['20230314-batch-relayer-v5/BalancerRelayer']
denylistToken(address),ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
disable(),AaveLinearPoolFactory,20230410-aave-linear-pool-v5,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
disable(),ComposableStablePoolFactory,20230711-composable-stable-pool-v5,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
disable(),ERC4626LinearPoolFactory,20230409-erc4626-linear-pool-v4,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
disable(),GearboxLinearPoolFactory,20230409-gearbox-linear-pool-v2,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
disable(),ManagedPoolFactory,20230411-managed-pool-v2,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
disable(),WeightedPoolFactory,20230320-weighted-pool-v4,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
disable(),YearnLinearPoolFactory,20230409-yearn-linear-pool-v2,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
enableRecoveryMode(),AaveLinearPool,20230410-aave-linear-pool-v5,"['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a', '0x03F3Fb107e74F2EAC9358862E91ad3c692712054']","['multisigs/emergency', '20221123-pool-recovery-helper/PoolRecoveryHelper']"
enableRecoveryMode(),ComposableStablePool,20230711-composable-stable-pool-v5,"['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a', '0x03F3Fb107e74F2EAC9358862E91ad3c692712054']","['multisigs/emergency', '20221123-pool-recovery-helper/PoolRecoveryHelper']"
enableRecoveryMode(),ERC4626LinearPool,20230409-erc4626-linear-pool-v4,"['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a', '0x03F3Fb107e74F2EAC9358862E91ad3c692712054']","['multisigs/emergency', '20221123-pool-recovery-helper/PoolRecoveryHelper']"
enableRecoveryMode(),GearboxLinearPool,20230409-gearbox-linear-pool-v2,"['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a', '0x03F3Fb107e74F2EAC9358862E91ad3c692712054']","['multisigs/emergency', '20221123-pool-recovery-helper/PoolRecoveryHelper']"
enableRecoveryMode(),ManagedPool,20230411-managed-pool-v2,"['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a', '0x03F3Fb107e74F2EAC9358862E91ad3c692712054']","['multisigs/emergency', '20221123-pool-recovery-helper/PoolRecoveryHelper']"
enableRecoveryMode(),WeightedPool,20230320-weighted-pool-v4,"['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a', '0x03F3Fb107e74F2EAC9358862E91ad3c692712054']","['multisigs/emergency', '20221123-pool-recovery-helper/PoolRecoveryHelper']"
enableRecoveryMode(),YearnLinearPool,20230409-yearn-linear-pool-v2,"['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a', '0x03F3Fb107e74F2EAC9358862E91ad3c692712054']","['multisigs/emergency', '20221123-pool-recovery-helper/PoolRecoveryHelper']"
"exitPool(bytes32,address,address,(address[],uint256[],bytes,bool))",Vault,20210418-vault,['0x76f7204B62f554b79d444588EDac9dfA7032c71a'],['20230314-batch-relayer-v5/BalancerRelayer']
"joinPool(bytes32,address,address,(address[],uint256[],bytes,bool))",Vault,20210418-vault,['0x76f7204B62f554b79d444588EDac9dfA7032c71a'],['20230314-batch-relayer-v5/BalancerRelayer']
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,['0x76f7204B62f554b79d444588EDac9dfA7032c71a'],['20230314-batch-relayer-v5/BalancerRelayer']
pause(),AaveLinearPool,20230410-aave-linear-pool-v5,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
pause(),ComposableStablePool,20230711-composable-stable-pool-v5,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
pause(),ERC4626LinearPool,20230409-erc4626-linear-pool-v4,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
pause(),GearboxLinearPool,20230409-gearbox-linear-pool-v2,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
pause(),ManagedPool,20230411-managed-pool-v2,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
pause(),WeightedPool,20230320-weighted-pool-v4,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
pause(),YearnLinearPool,20230409-yearn-linear-pool-v2,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
"registerProtocolId(uint256,string)",ProtocolIdRegistry,20230223-protocol-id-registry,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
removePoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
"renameProtocolId(uint256,string)",ProtocolIdRegistry,20230223-protocol-id-registry,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
"setFeeTypePercentage(uint256,uint256)",ProtocolFeePercentagesProvider,20220725-protocol-fee-percentages-provider,['0xC40DCFB13651e64C8551007aa57F9260827B6462'],['multisigs/dao']
setFlashLoanFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,['0xDEd7Fef7D8eCdcB74F22f0169e1A9EC696e6695d'],['20220725-protocol-fee-percentages-provider/ProtocolFeePercentagesProvider']
setPaused(bool),Vault,20210418-vault,['0x183C55A0dc7A7Da0f3581997e764D85Fd9E9f63a'],['multisigs/emergency']
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,['0x76f7204B62f554b79d444588EDac9dfA7032c71a'],['20230314-batch-relayer-v5/BalancerRelayer']
setSwapFeePercentage(uint256),AaveLinearPool,20230410-aave-linear-pool-v5,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
setSwapFeePercentage(uint256),ComposableStablePool,20230711-composable-stable-pool-v5,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
setSwapFeePercentage(uint256),ERC4626LinearPool,20230409-erc4626-linear-pool-v4,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
setSwapFeePercentage(uint256),GearboxLinearPool,20230409-gearbox-linear-pool-v2,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
setSwapFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,['0xDEd7Fef7D8eCdcB74F22f0169e1A9EC696e6695d'],['20220725-protocol-fee-percentages-provider/ProtocolFeePercentagesProvider']
setSwapFeePercentage(uint256),WeightedPool,20230320-weighted-pool-v4,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
setSwapFeePercentage(uint256),YearnLinearPool,20230409-yearn-linear-pool-v2,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
"setTargets(uint256,uint256)",AaveLinearPool,20230410-aave-linear-pool-v5,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
"setTargets(uint256,uint256)",ERC4626LinearPool,20230409-erc4626-linear-pool-v4,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
"setTargets(uint256,uint256)",GearboxLinearPool,20230409-gearbox-linear-pool-v2,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
"setTargets(uint256,uint256)",YearnLinearPool,20230409-yearn-linear-pool-v2,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
"startAmplificationParameterUpdate(uint256,uint256)",ComposableStablePool,20230711-composable-stable-pool-v5,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
stopAmplificationParameterUpdate(),ComposableStablePool,20230711-composable-stable-pool-v5,['0x65226673F3D202E0f897C862590d7e1A992B2048'],['multisigs/lm']
"swap((bytes32,uint8,address,address,uint256,bytes),(address,bool,address,bool),uint256,uint256)",Vault,20210418-vault,['0x76f7204B62f554b79d444588EDac9dfA7032c71a'],['20230314-batch-relayer-v5/BalancerRelayer']
"withdrawCollectedFees(address[],uint256[],address)",ProtocolFeesCollector,20210418-vault,['0xAcf05BE5134d64d150d153818F8C67EE36996650'],['20220517-protocol-fee-withdrawer/ProtocolFeesWithdrawer']
"withdrawCollectedFees(address[],uint256[],address)",ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,"['0x65226673F3D202E0f897C862590d7e1A992B2048', '0x9e5D6427D2cdaDC68870197b099C2Df535Ec3c97']","['multisigs/lm', 'mimic/smartVaultV2']"
