Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0x419F7925b8C9e409B6Ee8792242556fa210A7A09', '0x43A6C3Cd50776297Baa34d92217E1181BAF9C9B4', '0xe273ED010295c69b652d93De4390234042065258', '0x7701711545830ec044a5907f8292950e24B6a011', '0x0faA25293A36241C214F3760C6FF443e1b731981']","['UNDEF', 'UNDEF', 'UNDEF', 'UNDEF', 'UNDEF']"
"exitPool(bytes32,address,address,(address[],uint256[],bytes,bool))",Vault,20210418-vault,"['0x419F7925b8C9e409B6Ee8792242556fa210A7A09', '0x43A6C3Cd50776297Baa34d92217E1181BAF9C9B4', '0xe273ED010295c69b652d93De4390234042065258', '0x7701711545830ec044a5907f8292950e24B6a011', '0x0faA25293A36241C214F3760C6FF443e1b731981']","['UNDEF', 'UNDEF', 'UNDEF', 'UNDEF', 'UNDEF']"
"joinPool(bytes32,address,address,(address[],uint256[],bytes,bool))",Vault,20210418-vault,"['0x419F7925b8C9e409B6Ee8792242556fa210A7A09', '0x43A6C3Cd50776297Baa34d92217E1181BAF9C9B4', '0xe273ED010295c69b652d93De4390234042065258', '0x7701711545830ec044a5907f8292950e24B6a011', '0x0faA25293A36241C214F3760C6FF443e1b731981']","['UNDEF', 'UNDEF', 'UNDEF', 'UNDEF', 'UNDEF']"
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,"['0x419F7925b8C9e409B6Ee8792242556fa210A7A09', '0x43A6C3Cd50776297Baa34d92217E1181BAF9C9B4', '0xe273ED010295c69b652d93De4390234042065258', '0x7701711545830ec044a5907f8292950e24B6a011', '0x0faA25293A36241C214F3760C6FF443e1b731981']","['UNDEF', 'UNDEF', 'UNDEF', 'UNDEF', 'UNDEF']"
setAuthorizer(address),Vault,20210418-vault,['0x9d0327954009C59eD70Dc98b7726e911879d4D92'],['UNDEF']
setFlashLoanFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,['0x9d0327954009C59eD70Dc98b7726e911879d4D92'],['UNDEF']
setPaused(bool),Vault,20210418-vault,['0x9d0327954009C59eD70Dc98b7726e911879d4D92'],['UNDEF']
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,"['0x419F7925b8C9e409B6Ee8792242556fa210A7A09', '0x43A6C3Cd50776297Baa34d92217E1181BAF9C9B4', '0x7701711545830ec044a5907f8292950e24B6a011', '0x0faA25293A36241C214F3760C6FF443e1b731981']","['UNDEF', 'UNDEF', 'UNDEF', 'UNDEF']"
setSwapFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,['0x9d0327954009C59eD70Dc98b7726e911879d4D92'],['UNDEF']
"swap((bytes32,uint8,address,address,uint256,bytes),(address,bool,address,bool),uint256,uint256)",Vault,20210418-vault,"['0x419F7925b8C9e409B6Ee8792242556fa210A7A09', '0x43A6C3Cd50776297Baa34d92217E1181BAF9C9B4', '0xe273ED010295c69b652d93De4390234042065258', '0x7701711545830ec044a5907f8292950e24B6a011', '0x0faA25293A36241C214F3760C6FF443e1b731981']","['UNDEF', 'UNDEF', 'UNDEF', 'UNDEF', 'UNDEF']"
"withdrawCollectedFees(address[],uint256[],address)",ProtocolFeesCollector,20210418-vault,"['0x9d0327954009C59eD70Dc98b7726e911879d4D92', '0xA09BC385421f18D5d5072924f9d3709bB2B76281']","['UNDEF', 'UNDEF']"
