Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
addPoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
"add_reward(address,address)",ChildChainGauge,20230316-child-chain-gauge-factory-v2,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,['0xb541765F540447646A9545E0A4800A0Bacf9E13D'],['20231031-batch-relayer-v6/BalancerRelayer']
denylistToken(address),ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0xC66d0Ba27b8309D27cCa70064dfb40b73DB6de9E'],['multisigs/emergency']
disable(),ComposableStablePoolFactory,20240223-composable-stable-pool-v6,['0xC66d0Ba27b8309D27cCa70064dfb40b73DB6de9E'],['multisigs/emergency']
disable(),ManagedPoolFactory,20230411-managed-pool-v2,['0xC66d0Ba27b8309D27cCa70064dfb40b73DB6de9E'],['multisigs/emergency']
disable(),WeightedPoolFactory,20230320-weighted-pool-v4,['0xC66d0Ba27b8309D27cCa70064dfb40b73DB6de9E'],['multisigs/emergency']
enableRecoveryMode(),ComposableStablePool,20240223-composable-stable-pool-v6,"['0xC66d0Ba27b8309D27cCa70064dfb40b73DB6de9E', '0x76578ecf9a141296Ec657847fb45B0585bCDa3a6']","['multisigs/emergency', '20221123-pool-recovery-helper/PoolRecoveryHelper']"
enableRecoveryMode(),ManagedPool,20230411-managed-pool-v2,"['0xC66d0Ba27b8309D27cCa70064dfb40b73DB6de9E', '0x76578ecf9a141296Ec657847fb45B0585bCDa3a6']","['multisigs/emergency', '20221123-pool-recovery-helper/PoolRecoveryHelper']"
enableRecoveryMode(),WeightedPool,20230320-weighted-pool-v4,"['0xC66d0Ba27b8309D27cCa70064dfb40b73DB6de9E', '0x76578ecf9a141296Ec657847fb45B0585bCDa3a6']","['multisigs/emergency', '20221123-pool-recovery-helper/PoolRecoveryHelper']"
"exitPool(bytes32,address,address,(address[],uint256[],bytes,bool))",Vault,20210418-vault,['0xb541765F540447646A9545E0A4800A0Bacf9E13D'],['20231031-batch-relayer-v6/BalancerRelayer']
"joinPool(bytes32,address,address,(address[],uint256[],bytes,bool))",Vault,20210418-vault,['0xb541765F540447646A9545E0A4800A0Bacf9E13D'],['20231031-batch-relayer-v6/BalancerRelayer']
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,['0xb541765F540447646A9545E0A4800A0Bacf9E13D'],['20231031-batch-relayer-v6/BalancerRelayer']
pause(),ComposableStablePool,20240223-composable-stable-pool-v6,['0xC66d0Ba27b8309D27cCa70064dfb40b73DB6de9E'],['multisigs/emergency']
pause(),ManagedPool,20230411-managed-pool-v2,['0xC66d0Ba27b8309D27cCa70064dfb40b73DB6de9E'],['multisigs/emergency']
pause(),WeightedPool,20230320-weighted-pool-v4,['0xC66d0Ba27b8309D27cCa70064dfb40b73DB6de9E'],['multisigs/emergency']
"registerProtocolId(uint256,string)",ProtocolIdRegistry,20230223-protocol-id-registry,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
removePoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
"renameProtocolId(uint256,string)",ProtocolIdRegistry,20230223-protocol-id-registry,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
"setFeeTypePercentage(uint256,uint256)",ProtocolFeePercentagesProvider,20220725-protocol-fee-percentages-provider,['0x4f22C2784Cbd2B24a172566491Ee73fee1A63c2e'],['multisigs/dao']
setFlashLoanFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,['0xf23b4DB826DbA14c0e857029dfF076b1c0264843'],['20220725-protocol-fee-percentages-provider/ProtocolFeePercentagesProvider']
setPaused(bool),Vault,20210418-vault,['0xC66d0Ba27b8309D27cCa70064dfb40b73DB6de9E'],['multisigs/emergency']
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,['0xb541765F540447646A9545E0A4800A0Bacf9E13D'],['20231031-batch-relayer-v6/BalancerRelayer']
setSwapFeePercentage(uint256),ComposableStablePool,20240223-composable-stable-pool-v6,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
setSwapFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,['0xf23b4DB826DbA14c0e857029dfF076b1c0264843'],['20220725-protocol-fee-percentages-provider/ProtocolFeePercentagesProvider']
setSwapFeePercentage(uint256),WeightedPool,20230320-weighted-pool-v4,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
"startAmplificationParameterUpdate(uint256,uint256)",ComposableStablePool,20240223-composable-stable-pool-v6,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
stopAmplificationParameterUpdate(),ComposableStablePool,20240223-composable-stable-pool-v6,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
"swap((bytes32,uint8,address,address,uint256,bytes),(address,bool,address,bool),uint256,uint256)",Vault,20210418-vault,['0xb541765F540447646A9545E0A4800A0Bacf9E13D'],['20231031-batch-relayer-v6/BalancerRelayer']
"withdrawCollectedFees(address[],uint256[],address)",ProtocolFeesCollector,20210418-vault,['0x85a80afee867aDf27B50BdB7b76DA70f1E853062'],['20220517-protocol-fee-withdrawer/ProtocolFeesWithdrawer']
"withdrawCollectedFees(address[],uint256[],address)",ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
