Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
activate(),BalancerTokenAdmin,20220325-balancer-token-admin,['0x2122A7FCC2eeBF59cDF532EBFd197d56343E34A0'],['undef']
addArbitrumGauge(address),GaugeAdder,20220325-gauge-adder,['0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef'],['undef']
addEthereumGauge(address),GaugeAdder,20220325-gauge-adder,"['0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef', '0x3b1836C09fdAe0A7C2848F99B2584aEBD6A36876']","['undef', 'undef']"
addEthereumGauge(address),GaugeAdder,20220325-gauge-adder,"['0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef', '0x3b1836C09fdAe0A7C2848F99B2584aEBD6A36876']","['undef', 'undef']"
addPolygonGauge(address),GaugeAdder,20220325-gauge-adder,['0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef'],['undef']
"add_gauge(address,int128)",GaugeController,20220325-gauge-controller,"['0x0Df18b22fB1DD4c1D4bfBF783A8acF0758979328', '0x3b1836C09fdAe0A7C2848F99B2584aEBD6A36876']","['20220325-gauge-adder/GaugeAdder', 'undef']"
"add_gauge(address,int128)",GaugeController,20220325-gauge-controller,"['0x0Df18b22fB1DD4c1D4bfBF783A8acF0758979328', '0x3b1836C09fdAe0A7C2848F99B2584aEBD6A36876']","['20220325-gauge-adder/GaugeAdder', 'undef']"
"add_reward(address,address)",ChildChainGauge,20230316-child-chain-gauge-factory-v2,"['0xE0a171587b1Cae546E069A943EDa96916F5EE977', '0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef']","['undef', 'undef']"
"add_reward(address,address)",ChildChainGauge,20230316-child-chain-gauge-factory-v2,"['0xE0a171587b1Cae546E069A943EDa96916F5EE977', '0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef']","['undef', 'undef']"
"add_reward(address,address)",LiquidityGaugeV5,20220325-mainnet-gauge-factory,"['0xE0a171587b1Cae546E069A943EDa96916F5EE977', '0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef']","['undef', 'undef']"
"add_reward(address,address)",LiquidityGaugeV5,20220325-mainnet-gauge-factory,"['0xE0a171587b1Cae546E069A943EDa96916F5EE977', '0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef']","['undef', 'undef']"
"add_reward(address,address)",LiquidityGaugeV5,20220822-mainnet-gauge-factory-v2,"['0xE0a171587b1Cae546E069A943EDa96916F5EE977', '0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef']","['undef', 'undef']"
"add_reward(address,address)",LiquidityGaugeV5,20220822-mainnet-gauge-factory-v2,"['0xE0a171587b1Cae546E069A943EDa96916F5EE977', '0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef']","['undef', 'undef']"
allowlistAddress(address),SmartWalletChecker,20220420-smart-wallet-checker,"['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f', '0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef', '0x171C0fF5943CE5f133130436A29bF61E26516003']","['undef', 'undef', 'undef']"
allowlistAddress(address),SmartWalletChecker,20220420-smart-wallet-checker,"['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f', '0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef', '0x171C0fF5943CE5f133130436A29bF61E26516003']","['undef', 'undef', 'undef']"
allowlistAddress(address),SmartWalletChecker,20220420-smart-wallet-checker,"['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f', '0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef', '0x171C0fF5943CE5f133130436A29bF61E26516003']","['undef', 'undef', 'undef']"
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0xC92E8bdf79f0507f65a392b0ab4667716BFE0110', '0x7b9B6f094DC2Bd1c12024b0D9CC63d6993Be1888', '0x4B1635c7D3D1FC353298f92083e82dF69e1E9158', '0x2Fb8aD26faDC971464A17407e9213D1A22befc8a', '0x00e695aA8000df01B8DC8401B4C34Fba5D56BBb2', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9', '0x763e86606cD593A2ac9cFa517120502Af65bA351']","['undef', '20220720-batch-relayer-v3/BalancerRelayer', 'undef', 'undef', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer', 'undef']"
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0xC92E8bdf79f0507f65a392b0ab4667716BFE0110', '0x7b9B6f094DC2Bd1c12024b0D9CC63d6993Be1888', '0x4B1635c7D3D1FC353298f92083e82dF69e1E9158', '0x2Fb8aD26faDC971464A17407e9213D1A22befc8a', '0x00e695aA8000df01B8DC8401B4C34Fba5D56BBb2', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9', '0x763e86606cD593A2ac9cFa517120502Af65bA351']","['undef', '20220720-batch-relayer-v3/BalancerRelayer', 'undef', 'undef', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer', 'undef']"
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0xC92E8bdf79f0507f65a392b0ab4667716BFE0110', '0x7b9B6f094DC2Bd1c12024b0D9CC63d6993Be1888', '0x4B1635c7D3D1FC353298f92083e82dF69e1E9158', '0x2Fb8aD26faDC971464A17407e9213D1A22befc8a', '0x00e695aA8000df01B8DC8401B4C34Fba5D56BBb2', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9', '0x763e86606cD593A2ac9cFa517120502Af65bA351']","['undef', '20220720-batch-relayer-v3/BalancerRelayer', 'undef', 'undef', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer', 'undef']"
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0xC92E8bdf79f0507f65a392b0ab4667716BFE0110', '0x7b9B6f094DC2Bd1c12024b0D9CC63d6993Be1888', '0x4B1635c7D3D1FC353298f92083e82dF69e1E9158', '0x2Fb8aD26faDC971464A17407e9213D1A22befc8a', '0x00e695aA8000df01B8DC8401B4C34Fba5D56BBb2', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9', '0x763e86606cD593A2ac9cFa517120502Af65bA351']","['undef', '20220720-batch-relayer-v3/BalancerRelayer', 'undef', 'undef', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer', 'undef']"
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0xC92E8bdf79f0507f65a392b0ab4667716BFE0110', '0x7b9B6f094DC2Bd1c12024b0D9CC63d6993Be1888', '0x4B1635c7D3D1FC353298f92083e82dF69e1E9158', '0x2Fb8aD26faDC971464A17407e9213D1A22befc8a', '0x00e695aA8000df01B8DC8401B4C34Fba5D56BBb2', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9', '0x763e86606cD593A2ac9cFa517120502Af65bA351']","['undef', '20220720-batch-relayer-v3/BalancerRelayer', 'undef', 'undef', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer', 'undef']"
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0xC92E8bdf79f0507f65a392b0ab4667716BFE0110', '0x7b9B6f094DC2Bd1c12024b0D9CC63d6993Be1888', '0x4B1635c7D3D1FC353298f92083e82dF69e1E9158', '0x2Fb8aD26faDC971464A17407e9213D1A22befc8a', '0x00e695aA8000df01B8DC8401B4C34Fba5D56BBb2', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9', '0x763e86606cD593A2ac9cFa517120502Af65bA351']","['undef', '20220720-batch-relayer-v3/BalancerRelayer', 'undef', 'undef', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer', 'undef']"
