Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
"addOrUpdateBalancerContractAlias(string,address)",BalancerContractRegistry,20250117-v3-contract-registry,"['0x65A22Ec32c37835Ad5E77Eb6f7452Ac59E113a9F', '0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e']","['20250411-balancer-registry-initializer-v2/BalancerContractRegistryInitializer', 'multisigs/maxi_omni']"
deprecateBalancerContract(address),BalancerContractRegistry,20250117-v3-contract-registry,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
deregisterBalancerContract(string),BalancerContractRegistry,20250117-v3-contract-registry,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
disable(),Gyro2CLPPoolFactory,20250120-v3-gyro-2clp,['0x44613a28347206F5E26C1B8Db7Dc73f450219746'],['multisigs/emergency']
disable(),GyroECLPPoolFactory,20250124-v3-gyro-eclp,['0x44613a28347206F5E26C1B8Db7Dc73f450219746'],['multisigs/emergency']
disable(),ReClammPoolFactory,20250702-v3-reclamm-pool-v2,['0x44613a28347206F5E26C1B8Db7Dc73f450219746'],['multisigs/emergency']
disable(),StablePoolFactory,20250324-v3-stable-pool-v2,['0x44613a28347206F5E26C1B8Db7Dc73f450219746'],['multisigs/emergency']
disable(),WeightedPoolFactory,20241205-v3-weighted-pool,['0x44613a28347206F5E26C1B8Db7Dc73f450219746'],['multisigs/emergency']
disableQuery(),VaultAdmin,20241204-v3-vault,['0x44613a28347206F5E26C1B8Db7Dc73f450219746'],['multisigs/emergency']
disableQueryPermanently(),VaultAdmin,20241204-v3-vault,['0x44613a28347206F5E26C1B8Db7Dc73f450219746'],['multisigs/emergency']
disableRecoveryMode(address),VaultAdmin,20241204-v3-vault,['0x44613a28347206F5E26C1B8Db7Dc73f450219746'],['multisigs/emergency']
enableQuery(),VaultAdmin,20241204-v3-vault,['0x44613a28347206F5E26C1B8Db7Dc73f450219746'],['multisigs/emergency']
enableRecoveryMode(address),VaultAdmin,20241204-v3-vault,['0x44613a28347206F5E26C1B8Db7Dc73f450219746'],['multisigs/emergency']
pausePool(address),VaultAdmin,20241204-v3-vault,['0x44613a28347206F5E26C1B8Db7Dc73f450219746'],['multisigs/emergency']
pauseVault(),VaultAdmin,20241204-v3-vault,['0x44613a28347206F5E26C1B8Db7Dc73f450219746'],['multisigs/emergency']
pauseVaultBuffers(),VaultAdmin,20241204-v3-vault,['0x44613a28347206F5E26C1B8Db7Dc73f450219746'],['multisigs/emergency']
"registerBalancerContract(uint8,string,address)",BalancerContractRegistry,20250117-v3-contract-registry,"['0x65A22Ec32c37835Ad5E77Eb6f7452Ac59E113a9F', '0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e']","['20250411-balancer-registry-initializer-v2/BalancerContractRegistryInitializer', 'multisigs/maxi_omni']"
setCenterednessMargin(uint256),ReClammPool,20250702-v3-reclamm-pool-v2,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
setDailyPriceShiftExponent(uint256),ReClammPool,20250702-v3-reclamm-pool-v2,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
setGlobalProtocolSwapFeePercentage(uint256),ProtocolFeeController,20241204-v3-vault,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
setGlobalProtocolSwapFeePercentage(uint256),ProtocolFeeController,20250214-v3-protocol-fee-controller-v2,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
setGlobalProtocolYieldFeePercentage(uint256),ProtocolFeeController,20241204-v3-vault,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
setGlobalProtocolYieldFeePercentage(uint256),ProtocolFeeController,20250214-v3-protocol-fee-controller-v2,['0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e'],['multisigs/maxi_omni']
