Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
addPoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97'],['UNDEF']
"addTokenToGauge(address,address,address)",ChildChainGaugeTokenAdder,20220527-child-chain-gauge-token-adder,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['UNDEF']
"add_reward(address,address)",ChildChainGauge,20230316-child-chain-gauge-factory-v2,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['UNDEF']
"add_reward(address,address,uint256)",ChildChainStreamer,20220413-child-chain-gauge-factory,['0x1554ee754707D5C93b7934AF404747Aba521Aaf2'],['UNDEF']
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e', '0xF537dDd7f4cc72C6C08866b62EAe9378f1F62da8', '0xcf6a66E32dCa0e26AcC3426b851FD8aCbF12Dac7', '0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b', '0xd18d5D377eb23362e54Fa496597d7E962d56C554']","['UNDEF', 'UNDEF', 'UNDEF', 'UNDEF', 'UNDEF']"
denylistToken(address),ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['UNDEF']
disable(),AaveLinearPoolFactory,20220817-aave-rebalanced-linear-pool,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20221207-aave-rebalanced-linear-pool-v3,"['0x3c58668054c299bE836a0bBB028Bee3aD4724846', '0xeE071f4B516F69a1603dA393CdE8e76C40E5Be85']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20230206-aave-rebalanced-linear-pool-v4,"['0x3c58668054c299bE836a0bBB028Bee3aD4724846', '0xeE071f4B516F69a1603dA393CdE8e76C40E5Be85']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20230410-aave-linear-pool-v5,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['UNDEF']
disable(),ComposableStablePoolFactory,20220906-composable-stable-pool,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['UNDEF', 'UNDEF']"
